step,learning_rate,ce_loss,ratio_loss,byte_boundary_loss,total_loss
1,2.1739130434782607e-06,5.581838071346283,1.0448719710111618,0.30115155689418316,5.617793088611216
2,4.347826086956521e-06,5.5590527057647705,1.0456260740756989,0.3012725319713354,5.595028853844851
3,6.521739130434782e-06,5.488358914852142,1.0534409806132317,0.3007668647915125,5.524466077703983
4,8.695652173913043e-06,5.3383097648620605,1.0456523448228836,0.3004521578550339,5.3742454196512695
5,1.0869565217391305e-05,5.151615709066391,1.0497325509786606,0.2995969895273447,5.187590209562331
6,1.3043478260869564e-05,4.940951764583588,1.0322343744337559,0.29822893254458904,4.9765078986994915
7,1.5217391304347825e-05,4.780095666646957,1.0290032848715782,0.29712906666100025,4.815532185677439
8,1.7391304347826085e-05,4.655098497867584,1.0210300460457802,0.29569985903799534,4.6903040917403995
9,1.956521739130435e-05,4.558918058872223,1.006604865193367,0.2937920428812504,4.593739758320153
10,2.173913043478261e-05,4.460127979516983,0.9904418513178825,0.29154573008418083,4.49451410304755
11,2.391304347826087e-05,4.446340799331665,0.9758491553366184,0.28883065842092037,4.480299315359443
12,2.6086956521739128e-05,4.410476177930832,0.9582339748740196,0.28559157252311707,4.443920436054468
13,2.8260869565217392e-05,4.369828790426254,0.946278378367424,0.2816071677953005,4.402834716383367
14,3.043478260869565e-05,4.29604297876358,0.9351634941995144,0.2767156586050987,4.328582031577826
15,3.260869565217392e-05,4.232359528541565,0.9230679236352444,0.2714899107813835,4.26439538255334
16,3.478260869565217e-05,4.135381400585175,0.9244709834456444,0.26554080471396446,4.167147860489785
17,3.695652173913043e-05,4.094538569450378,0.925878569483757,0.26060873083770275,4.126086577381939
18,3.91304347826087e-05,4.016195714473724,0.9408870413899422,0.25515748746693134,4.04777132967487
19,4.130434782608695e-05,3.9883462488651276,0.9566166549921036,0.25154445692896843,4.020055804811418
20,4.347826086956522e-05,3.9478305131196976,0.9910272806882858,0.24768242053687572,3.980035179760307
21,4.5652173913043474e-05,3.865317702293396,1.0473997443914413,0.24483004584908485,3.898507199473679
22,4.782608695652174e-05,3.8708842545747757,1.0819262862205505,0.24395067617297173,3.904720314107835
23,5e-05,3.810638278722763,1.1003674194216728,0.24341128207743168,3.844816191215068
24,5.2173913043478256e-05,3.708183214068413,1.109416052699089,0.244494310580194,3.7425962506514043
25,5.434782608695652e-05,3.6397757530212402,1.1163136065006256,0.246917056851089,3.6744478779938072
26,5.6521739130434784e-05,3.574067384004593,1.1217493191361427,0.2503043282777071,3.609017586801201
27,5.8695652173913045e-05,3.515582099556923,1.1235588788986206,0.2556855361908674,3.5508375539444383
28,6.08695652173913e-05,3.4185210168361664,1.1230071932077408,0.2615932282060385,3.4540608221106233
29,6.304347826086956e-05,3.3736824691295624,1.122357189655304,0.26795435324311256,3.409527330584824
30,6.521739130434783e-05,3.3252506256103516,1.119695320725441,0.27399175986647606,3.361344120018184
31,6.73913043478261e-05,3.291635051369667,1.1174255385994911,0.2775769326835871,3.327862408775836
32,6.956521739130434e-05,3.2524824738502502,1.1148111000657082,0.28122927621006966,3.288840159662068
33,7.17391304347826e-05,3.226692721247673,1.1105774641036987,0.2835798654705286,3.2630832638032734
34,7.391304347826086e-05,3.14608570933342,0.9876981228590012,0.2881697043776512,3.180248157009482
35,7.608695652173914e-05,3.0916763693094254,0.9552097544074059,0.2901738602668047,3.125289257410914
36,7.82608695652174e-05,3.04551599919796,0.9449289925396442,0.28964262269437313,3.0788967101834714
37,8.043478260869565e-05,3.052343934774399,0.9810949712991714,0.2856073323637247,3.0862462008185685
38,8.26086956521739e-05,2.9733546376228333,0.9910486787557602,0.28245155699551105,3.007298189047724
39,8.478260869565218e-05,2.9499685913324356,1.0623130425810814,0.27513090521097183,2.984971397444606
40,8.695652173913044e-05,2.883063465356827,1.0756265372037888,0.2696720268577337,2.918059597443789
41,8.91304347826087e-05,2.880615308880806,1.0653565749526024,0.26507854275405407,2.9151763675175606
42,9.130434782608695e-05,2.857790783047676,1.0513292774558067,0.2618323005735874,2.8919089836254717
43,9.347826086956521e-05,2.8342547863721848,1.0367285758256912,0.2569593843072653,2.867837327104062
44,9.565217391304348e-05,2.738443598151207,1.0284131914377213,0.254352193325758,2.7717294716462493
45,9.782608695652174e-05,2.7376522421836853,1.0130993947386742,0.2484906306490302,2.7703387616109105
46,0.0001,2.6935274451971054,1.0029087588191032,0.2426892314106226,2.7257200819440186
47,0.00010217391304347825,2.664896458387375,0.9914390780031681,0.23689482919871807,2.6965699814073743
48,0.00010434782608695651,2.655848905444145,0.9818443804979324,0.23154049087315798,2.6870628175977616
49,0.00010652173913043477,2.6205596029758453,0.9734197184443474,0.2247061152011156,2.651263303104788
50,0.00010869565217391303,2.6024085879325867,0.9656521491706371,0.21763561852276325,2.6326034118421378
51,0.00011086956521739131,2.5460541248321533,0.9604074992239475,0.21087141800671816,2.5758058457169684
52,0.00011304347826086957,2.520378530025482,0.9569923803210258,0.20395514369010925,2.5497161348164084
53,0.00011521739130434783,2.508270800113678,0.9613173715770245,0.19589644204825163,2.5372919696476313
54,0.00011739130434782609,2.4833975434303284,0.9718053638935089,0.18774918466806412,2.512221109941602
55,0.00011956521739130435,2.455881491303444,1.0288134217262268,0.18140145670622587,2.48552783257328
56,0.0001217391304347826,2.439197316765785,1.132749505341053,0.17560819257050753,2.470632716501132
57,0.00012391304347826086,2.4192463755607605,1.1588914394378662,0.16788969933986664,2.450818689316511
58,0.00012608695652173912,2.3866417706012726,1.1744473949074745,0.16372792702168226,2.4183171148505065
59,0.00012826086956521738,2.3719334453344345,1.1740189790725708,0.159003596752882,2.40336400475353
60,0.00013043478260869567,2.358018919825554,1.1704876571893692,0.15709628630429506,2.389283487284556
61,0.00013260869565217393,2.346051648259163,1.1498057842254639,0.15357998479157686,2.376726763183251
62,0.0001347826086956522,2.314060166478157,1.0339216031134129,0.15051580127328634,2.34226438860409
63,0.00013695652173913042,2.3117689341306686,0.9952371679246426,0.14913274627178907,2.339130314802751
64,0.00013913043478260868,2.2826890498399734,0.9894392564892769,0.14325318671762943,2.3096404943056403
65,0.00014130434782608694,2.273209258913994,0.9963333234190941,0.14196941256523132,2.3002343960106373
66,0.0001434782608695652,2.232543244957924,0.9896518774330616,0.13774986192584038,2.259223775602877
67,0.00014565217391304347,2.238907977938652,0.987869381904602,0.1362456064671278,2.2654776459001007
68,0.00014782608695652173,2.2220974266529083,0.9849771112203598,0.13642958272248507,2.2486184480134397
69,0.00015000000000000001,2.209765002131462,0.9860290847718716,0.1311479564756155,2.2360429816506806
70,0.00015217391304347827,2.1624927669763565,0.9881352409720421,0.12360924342647195,2.1884359339671207
71,0.00015434782608695654,2.1502845287323,0.9837605878710747,0.1208406207151711,2.1760017715254802
72,0.0001565217391304348,2.16530579328537,0.9855303801596165,0.11813420196995139,2.19092311098706
73,0.00015869565217391303,2.097080484032631,0.9883057773113251,0.11261814925819635,2.122477507041767
74,0.0001608695652173913,2.089854210615158,0.9844037741422653,0.10667729051783681,2.1148761506238953
75,0.00016304347826086955,2.1000109016895294,0.9847046546638012,0.10655962582677603,2.125032976074144
76,0.0001652173913043478,2.081370249390602,0.9859733767807484,0.1034121080301702,2.1062603223277256
77,0.00016739130434782607,2.096002385020256,0.9814870841801167,0.09965357510372996,2.1206148054590446
78,0.00016956521739130436,2.0539505928754807,0.9868667647242546,0.09383989125490189,2.078379922732711
79,0.00017173913043478262,2.027766674757004,0.9998391158878803,0.09161615371704102,2.0523442647606136
80,0.00017391304347826088,2.041493199765682,0.9986825361847878,0.0915553574450314,2.0660446183616292
81,0.00017608695652173914,2.016300082206726,0.9984800219535828,0.08473593043163419,2.0405064791673793
82,0.0001782608695652174,1.9987012967467308,1.0187095254659653,0.08471072791144252,2.023311023651622
83,0.00018043478260869564,1.9967071786522865,1.0426975935697556,0.08317498117685318,2.0217198795825246
84,0.0001826086956521739,1.9881404042243958,1.0555336698889732,0.0802220213226974,2.01326217868831
85,0.00018478260869565216,2.006877914071083,1.0463472306728363,0.07906640833243728,2.0317581791011614
86,0.00018695652173913042,1.9751875475049019,1.0476024523377419,0.07441148813813925,1.9998601709585635
87,0.0001891304347826087,1.9465488493442535,1.055497020483017,0.07477598870173097,1.9713975891890005
88,0.00019130434782608697,1.9557592868804932,1.0497132018208504,0.07320526288822293,1.9804138140613212
89,0.00019347826086956523,1.9406681060791016,1.0188509784638882,0.07128520542755723,1.9646093859197573
90,0.0001956521739130435,1.9393491297960281,1.0048875138163567,0.07102059293538332,1.9629979097191244
91,0.00019782608695652172,1.91860032081604,0.991299495100975,0.07008680002763867,1.9419306507194414
92,0.0002,1.9160631000995636,0.9886788465082645,0.06978584220632911,1.9393259691400453
93,0.00020217391304347827,1.9023916274309158,0.9904863387346268,0.06787645095027983,1.9255951767531225
94,0.0002043478260869565,1.9142087325453758,0.9912086762487888,0.0672500473447144,1.9373954084375873
95,0.0002065217391304348,1.8840984851121902,0.9970003850758076,0.0660541313700378,1.9073411993822083
96,0.00020869565217391303,1.895072765648365,0.9919201880693436,0.06709051807411015,1.9182656953134574
97,0.0002108695652173913,1.8716712072491646,1.0038659274578094,0.0650962614454329,1.8950033388705925
